Single Year of Age,Both sexes,Female,Male
0,57796,28186,29610
1,56420,27545,28875
2,59210,28974,30236
3,60484,29483,31001
4,61505,29819,31686
5,64026,31342,32684
6,66714,32622,34092
7,69001,33572,35429
8,70733,34437,36296
9,72196,35227,36969
10,74101,36066,38035
11,75159,36863,38296
12,76254,37297,38957
13,75256,36782,38474
14,73432,36080,37352
15,70440,34492,35948
16,67814,33168,34646
17,68026,33045,34981
18,66752,32852,33900
19,64596,31729,32867
20,63744,31624,32120
21,60661,29890,30771
22,62218,30768,31450
23,60922,30051,30871
24,59598,29364,30234
25,59263,29294,29969
26,58240,28864,29376
27,58690,29528,29162
28,58690,29788,28902
29,60925,30936,29989
30,63699,32841,30858
31,65947,33710,32237
32,66795,34382,32413
33,66377,34489,31888
34,69405,36284,33121
35,72635,37940,34695
36,74858,39030,35828
37,75620,39193,36427
38,78415,40902,37513
39,81341,42592,38749
40,83444,43143,40301
41,85097,43696,41401
42,84981,43337,41644
43,80683,41408,39275
44,77319,39379,37940
45,76216,38506,37710
46,75416,38127,37289
47,74524,37471,37053
48,73617,37145,36472
49,73731,37081,36650
50,72249,36199,36050
51,69951,35025,34926
52,68770,34414,34356
53,64815,32204,32611
54,64218,32168,32050
55,62916,31563,31353
56,61963,31279,30684
57,62655,31764,30891
58,60435,30660,29775
59,59196,30000,29196
60,57518,29063,28455
61,56705,28856,27849
62,55015,27899,27116
63,52196,26312,25884
64,51236,26109,25127
65,50083,25183,24900
66,48421,24662,23759
67,48151,24524,23627
68,45520,23018,22502
69,45969,23375,22594
70,43150,21897,21253
71,41685,21236,20449
72,41124,21159,19965
73,39255,20134,19121
74,37670,19177,18493
75,35767,18294,17473
76,33759,17665,16094
77,30572,15971,14601
78,28058,14666,13392
79,26104,13938,12166
80,22847,12173,10674
81,20661,11191,9470
82,19538,10759,8779
83,17885,9985,7900
84,15655,8890,6765
85,14457,8303,6154
86,12871,7501,5370
87,11281,6766,4515
88,9698,5927,3771
89,7997,4961,3036
90,6729,4285,2444
91,5731,3781,1950
92,4106,2809,1297
93,3257,2320,937
94,2455,1737,718
95,1826,1344,482
96,1283,956,327
97,949,732,217
98,622,492,130
99,441,336,105
100,738,584,154
